route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1093,1,6041339,Caltrain via Downtown,1,9713,116466
1093,1,6041338,Caltrain via Downtown,1,9721,116466
1093,1,6041337,Caltrain via Downtown,1,9710,116466
1093,1,6041336,Caltrain via Downtown,1,9708,116466
1093,1,6041335,Caltrain via Downtown,1,9724,116466
1093,1,6041334,Caltrain via Downtown,1,9718,116466
1093,1,6041333,Caltrain via Downtown,1,9705,116466
1093,1,6041331,Caltrain via Downtown,1,9716,116466
1093,1,6041331,HeadSignIDunCare,1,9716,116467
1093,3,6042020,Ocean Beach ,0,9711,116451
1093,3,6041923,Ocean Beach ,0,9707,116451
1093,3,6041922,Ocean Beach ,0,9705,116451
1093,3,6041921,Ocean Beach ,0,9704,116451
1093,3,6041926,Ocean Beach ,0,9703,116451
1093,3,6041925,Ocean Beach ,0,9702,116451
1093,3,6041924,Ocean Beach ,0,9701,116451
1093,2,6096580,Ocean Beach ,0,9713,116451
1093,2,6041675,Ocean Beach ,0,9712,116451
1093,2,6041581,Ocean Beach ,0,9705,116451
1093,2,6041580,Ocean Beach ,0,9704,116451
1093,2,6041579,Ocean Beach ,0,9703,116451
1093,2,6041577,Ocean Beach ,0,9702,116451
1093,2,6041578,Ocean Beach ,0,9701,116451
1093,1,6041234,Ocean Beach ,0,9725,116451
1094,1,9999999,Blah,0,9725,9999
